               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089992,            0.022258,            0.035881,             0.52658,             0.31944,             0.15948,             0.09207,            0.074934,           0.0098007,            0.025575,           0.0032653,           0.0032653,            0.070612
                   1,            0.063768,            0.022235,             0.02812,              0.7366,             0.16667,             0.23832,             0.10835,            0.058176,           0.0080694,            0.019914,            0.006272,            0.006272,            0.040286
                   2,            0.057587,             0.01838,            0.023263,             0.67459,             0.41667,             0.41333,             0.24552,            0.057811,           0.0053092,            0.020426,           0.0089487,           0.0089487,            0.009629
                   3,            0.051052,            0.017407,            0.022917,             0.81611,              0.3609,             0.50932,             0.29877,            0.056748,           0.0059449,            0.015124,            0.008515,            0.008515,            0.008515
                   4,            0.046112,            0.016301,            0.021011,              0.8191,             0.34722,             0.44207,             0.21337,            0.046463,           0.0065164,            0.014363,            0.008515,            0.008515,            0.008515
                   5,            0.042459,            0.015512,            0.019115,             0.94501,             0.46258,             0.65256,             0.42802,            0.043335,           0.0053123,            0.010722,             0.00802,             0.00802,             0.00802
                   6,            0.038787,            0.015177,            0.018876,             0.42698,             0.77778,             0.67377,             0.47392,            0.037142,           0.0044118,           0.0096164,            0.007525,            0.007525,            0.007525
                   7,            0.037767,            0.015124,            0.017558,             0.69874,             0.79167,             0.77929,             0.44316,            0.038279,           0.0041695,           0.0071822,             0.00703,             0.00703,             0.00703
                   8,            0.034648,            0.014377,            0.015891,             0.73323,             0.63965,             0.70763,             0.50238,              0.0348,           0.0038333,           0.0094971,            0.006535,            0.006535,            0.006535
                   9,             0.03356,            0.013458,            0.016463,             0.73577,             0.87335,             0.88291,             0.60336,            0.031937,           0.0039199,           0.0061796,             0.00604,             0.00604,             0.00604
                  10,            0.033068,            0.013136,             0.01481,             0.79874,             0.76273,             0.78233,             0.50251,            0.031899,           0.0048441,           0.0052686,            0.005545,            0.005545,            0.005545
                  11,            0.032044,            0.012364,            0.015405,              0.8566,             0.90245,             0.94177,             0.63204,            0.028455,           0.0032059,           0.0065177,             0.00505,             0.00505,             0.00505
                  12,            0.031641,            0.012974,            0.013992,             0.95216,             0.88889,             0.97452,             0.62816,            0.028966,           0.0032185,           0.0046829,            0.004555,            0.004555,            0.004555
                  13,            0.029263,            0.012408,            0.011623,             0.88903,             0.99976,             0.93828,             0.65434,            0.025992,           0.0031185,           0.0031022,             0.00406,             0.00406,             0.00406
                  14,            0.028843,            0.011966,            0.011622,             0.88754,             0.94444,             0.93314,              0.6889,            0.026441,            0.002928,           0.0032612,            0.003565,            0.003565,            0.003565
                  15,            0.027318,             0.01138,            0.012359,              0.9197,             0.94609,             0.95727,             0.64577,            0.025243,           0.0030962,           0.0040532,             0.00307,             0.00307,             0.00307
                  16,            0.025549,            0.011826,            0.012883,             0.80631,             0.98611,             0.88691,             0.65744,            0.025536,           0.0029687,           0.0054239,            0.002575,            0.002575,            0.002575
                  17,            0.025463,            0.011328,            0.011803,             0.93551,             0.87501,             0.96574,             0.59912,            0.025562,           0.0030672,           0.0037507,             0.00208,             0.00208,             0.00208
                  18,            0.023826,            0.011272,            0.010035,             0.89082,             0.94419,              0.9712,             0.68273,            0.021026,           0.0029846,           0.0031191,            0.001585,            0.001585,            0.001585
                  19,             0.02299,            0.010785,            0.010102,             0.91449,             0.98598,             0.98597,             0.69866,            0.025764,           0.0027421,            0.002901,             0.00109,             0.00109,             0.00109
