               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09421,            0.019359,            0.033821,             0.50249,             0.30255,             0.14235,            0.047125,            0.072141,            0.011518,            0.030009,           0.0032704,           0.0032704,            0.070566
                   1,            0.068893,            0.018819,            0.022317,             0.67993,             0.29438,             0.27226,            0.094237,            0.066174,           0.0093722,            0.023074,           0.0064403,           0.0064403,            0.040403
                   2,            0.065234,            0.016086,            0.017852,             0.22686,             0.47646,             0.20758,            0.038675,            0.069009,           0.0088578,            0.021284,           0.0094452,           0.0094452,            0.010074
                   3,            0.058177,            0.014803,            0.014733,            0.098882,             0.59687,             0.16271,            0.059651,            0.065755,             0.01016,            0.024421,           0.0092575,           0.0092575,           0.0092575
                   4,            0.050458,            0.012809,            0.011987,             0.48962,             0.26703,              0.2773,             0.10481,            0.054189,            0.009616,            0.025618,           0.0092575,           0.0092575,           0.0092575
                   5,            0.045185,            0.012376,             0.01071,             0.50023,             0.45565,             0.48101,             0.21318,            0.047802,           0.0081126,            0.032177,             0.00901,             0.00901,             0.00901
                   6,            0.040393,            0.011492,           0.0097937,              0.5042,             0.27531,             0.28909,             0.15819,            0.048991,            0.010427,            0.034677,           0.0087625,           0.0087625,           0.0087625
                   7,             0.03877,            0.010685,           0.0090919,             0.36993,             0.33318,              0.2988,             0.15432,            0.048636,           0.0088031,            0.027119,            0.008515,            0.008515,            0.008515
                   8,            0.036748,            0.010429,           0.0083683,             0.51947,             0.50552,             0.47781,             0.21788,            0.040669,           0.0085094,            0.030173,           0.0082675,           0.0082675,           0.0082675
                   9,            0.034549,           0.0098159,           0.0080178,             0.60526,             0.56976,              0.4622,             0.21403,             0.04397,           0.0086727,            0.035236,             0.00802,             0.00802,             0.00802
                  10,             0.03297,           0.0095946,           0.0083175,             0.50544,             0.58097,             0.51716,             0.26944,            0.040617,           0.0082136,            0.020275,           0.0077725,           0.0077725,           0.0077725
                  11,              0.0332,           0.0091478,           0.0071968,             0.82337,             0.36221,             0.36156,             0.16902,            0.047504,           0.0093479,            0.032406,            0.007525,            0.007525,            0.007525
                  12,            0.033262,           0.0094545,           0.0059196,             0.29834,             0.60742,             0.44413,             0.20527,            0.043532,           0.0084468,            0.031667,           0.0072775,           0.0072775,           0.0072775
                  13,            0.031635,            0.009002,           0.0059748,             0.50363,             0.59373,             0.60601,             0.23601,            0.040548,           0.0083414,            0.038825,             0.00703,             0.00703,             0.00703
                  14,            0.029294,           0.0085867,            0.006657,             0.45712,             0.62068,             0.46321,             0.21513,            0.041455,           0.0077831,            0.031471,           0.0067825,           0.0067825,           0.0067825
                  15,            0.029032,           0.0086583,           0.0053667,             0.34766,             0.58853,             0.50736,             0.24312,            0.038693,           0.0082122,            0.037351,            0.006535,            0.006535,            0.006535
                  16,            0.028774,           0.0080533,           0.0059214,             0.47147,             0.60225,             0.56902,             0.22351,            0.041083,           0.0080846,            0.027622,           0.0062875,           0.0062875,           0.0062875
                  17,            0.027024,           0.0088342,           0.0046868,             0.43549,             0.45922,             0.40117,             0.22225,            0.041649,           0.0085218,            0.033843,             0.00604,             0.00604,             0.00604
